Book Id,ImageFile,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34314999,,Matéria Escura,Blake Crouch,"Crouch, Blake",Alexandre Raposo,8551001221,9788551001226,0,4.14,Intrínseca,Paperback,358,2017,2016,,2022/06/06,to-read,to-read (#6),to-read,,,,0,0
22662729,,A Dança da Morte,Stephen        King,"King, Stephen",Gilson Soares,,,5,4.35,Suma de Letras,Paperback,1248,2013,1978,2022/03/22,2021/08/16,"stephen-king, 2022","stephen-king (#5), 2022 (#10)",read,"É inacreditável o quanto que esse livro é bom, 1248 páginas e eu gostaria que tivesse mais. Adoraria conhecer a vida de mais protagonistas. O final foi o que eu esperava, não existe outro final, o ser humano sempre vai acabar com a paz.",,,1,0
28670678,,"P.S. Ainda Te Amo (A Todos os Rapazes que Amei, #2)",Jenny Han,"Han, Jenny",Leonilda Santana,9898800771,9789898800770,3,04.02,Topseller,Paperback,272,2016,2015,2022/05/20,2022/05/19,"romance, 2022","romance (#3), 2022 (#3)",read,"Caramba Lara Jean, esperava mais de você, digo isso por que, para quem fugia tanto, com medo de ser machucada, correu para os braços daquele babaca. Fui bem cruel agora mas, tenho um motivo, o carinho que eu sentia por Peter sumiu totalmente, por todas as escolhas dele, escolher a ex ao invés de Lara, pedir o presente de volta, a descoberta que fizemos sobre o dia que Lara entregou seu coração. Peter é tão egocêntrico que só foi atrás de Lara quando ela estava com outro, passou a sensação de que ele só não queria perder, como se ela fosse só um objeto.<br/>Sinto que Lara estava se apaixonando forte por Ambrose, mas como o primeiro amor fica marcado em você, ela não conseguiu se desapegar de Peter, como a irmã dela conseguiu de Josh.",,,1,0
22489270,,A Maldição,Richard Bachman,"Bachman, Richard","Stephen        King, Louisa Ibañez",8581050492,9788581050492,3,3.77,Suma de Letras,Paperback,287,2012,1984,2022/05/28,2022/03/29,"horror, stephen-king, 2022","horror (#6), stephen-king (#6), 2022 (#5)",read,"Tenho a sensação que não deveria ser um livro e sim um conto, por mais que a história seja curiosa, Billy é tão chato, passa o livro inteiro desejando o mal para sua esposa, e é nojento os desejos que ele sente pela garota cigana. E os ciganos que no começo eu fiquei com pena, quero que vá tudo para o inferno, por causa dos maus tratos aos animais.<br/>Quando Ginelli aparece é quando vc sente o livro avançar e sobre o final foi bem previsível. ",TRUE,,1,0
60686203,,Imperfeitos,Christina Lauren,"Lauren, Christina",Carlos Szlak,6559571289,9786559571284,2,3.91,Faro Editorial,Paperback,256,2022,2019,2022/06/05,2022/05/14,"romance, 2022","romance (#2), 2022 (#16)",read,"Casal sem química, a evolução do relacionamento deles é inexistente, de um dia para o outro se apaixonam, sendo que horas atrás Ethan estava apaixonado pela ex. E caramba se vc sabe que sua irmã está sendo traída, conte crlh.",,,1,0
34467283,,A Árvore Generosa,Shel Silverstein,"Silverstein, Shel","Fernando Sabino, Mia Couto",8574067539,9788574067537,5,4.38,Companhia das Letrinhas,Hardcover,64,2017,1964,2022/06/05,2022/06/05,"2022, infantil","2022 (#15), infantil (#1)",read,"Lendo esse livro eu só relaciono com o amor de mãe ao seu filho, em que ela abre mão de tudo por amor, é um livro curto que vai direto ao ponto. Que não sejamos esse garoto ganancioso e egoísta.",,,1,0
59061184,,Piranesi,Susanna Clarke,"Clarke, Susanna",Heci Regina Candiani,6586015317,9786586015317,5,4.23,Morro Branco,Hardcover,232,2021,2020,2022/03/22,2022/03/13,2022,2022 (#14),read,"Sinto que nessa primeira leitura de Piranesi eu não absorvi tanto da história, no começo eu tentei esmiuçar tanto as frases trazendo mil e um significados, que com o final eu acabei me decepcionando, mas pode ter sido cansaço da minha parte. <br/>Piranesi é aberto à interpretação, então posso simplesmente dizer que o sentimento que me trouxe foi quando eu me fecho tanto em torno de me mesma que é tumultuoso meu caminho de volta a realidade.",,,1,0
53901708,,"La Belle Sauvage (O Livro das Sombras, #1)",Philip Pullman,"Pullman, Philip",,,,5,4.15,Suma,ebook,392,2017,2017,2022/01/29,2021/12/27,"juvenil, 2022","juvenil (#2), 2022 (#13)",read,"Esse livro me cativou já faz um tempo por essa capa diferente, algo me chamava para lê-lo, esse livro me trouxe um sentimento tão bom que faz tempo que eu não sentia em uma leitura, é aquela vontade de você entrar naquele mundo e desbravar os perigos e os desafios que aparece na sua frente.",,,1,0
53124130,,Teto para dois,Beth O'Leary,"O'Leary, Beth",Carolina Selvatici,8551005421,9788551005422,5,4.00,Intrínseca,Kindle Edition,437,2019,2019,2022/05/14,2022/05/02,"romance, 2022","romance (#1), 2022 (#12)",read,,,,1,0
57400122,,A Lista de Convidados,Lucy Foley,"Foley, Lucy",Maria Carmelita Dias,6555601507,9786555601503,5,3.81,Intrínseca,Paperback,304,2021,2020,2022/03/10,2022/02/14,"mistério, 2022","mistério (#1), 2022 (#11)",read,"Que mistério de qualidade, não passou pela minha cabeça os segredos que foram sendo revelados, a leitura é tão fluida que você não sente vontade de parar<br/>Entre tantos personagens que foram apresentados, irei deixar escrito aqui a minha aversão por Olivia, por ser tão dramática, mal amada e cínica <br/>E meu sentimento de Hannah ser tão trouxa e Charlie ser tão insignificante, falso e traiçoeiro <br/>E por Jules ser tão foda pra caralho",,,1,0
60178446,,Última parada,Casey McQuiston,"McQuiston, Casey",Guilherme  Miranda,8555341566,9788555341564,4,3.92,Seguinte,Paperback,400,2022,2021,2022/05/01,2022/04/11,"lgbt, 2022","lgbt (#1), 2022 (#9)",read,"""Às vezes eu acho que me perdi no tempo por que não pertencia de verdade a minha origem e o universo está tentando me dizer alguma coisa!""<br/>Que romance gostosinho, mas no final ficou tão meloso que não estava aguentando mais, além do mais fiquei decepcionada com a romantização do sexo no metrô, por já ter lido outro livro da autora não esperava que seria tão explícito.",,,1,0
25449676,,"Para Todos os Garotos que Já Amei (Para Todos os Garotos que Já Amei, #1)",Jenny Han,"Han, Jenny",,8580577268,9788580577266,4,04.04,Intrínseca,Paperback,320,2015,2014,2022/05/19,2022/05/16,2022,2022 (#8),read,"Um romance leve e despretensioso, adorei conhecer Lara Jean que é tão calma e receosa em entregar seu coração, me identifiquei nesse aspecto.",,,1,0
34951378,,"Agora e para sempre, Lara Jean (Para todos os garotos que já amei, #3)",Jenny Han,"Han, Jenny",Regiane Winarski,8551001981,9788551001981,4,4.00,Intrínseca,Paperback,304,2017,2017,2022/05/28,2022/05/20,2022,2022 (#7),read,"Estou indignada por ter acabado, queria saber mais da vida de Lara e Peter.<br/>A autora escreve de uma forma que parece que vc está na sala fofocando com as irmãs Song.  Vendo o fim da escola de Lara e todo o carinho que ela tem com seus colegas, vezes lamento por eu não ter sido próxima das pessoas com quem estudei, pq eu não trouxe ninguém para minha vida, descartei todos.",,,1,0
55809566,,"A Rainha do Nada (O Povo do Ar, #3)",Holly Black,"Black, Holly",Regiane Winarski,6555871431,9786555871432,3,4.35,Galera,Paperback,294,2020,2019,2022/02/13,2022/02/10,"juvenil, 2022","juvenil (#5), 2022 (#6)",read,"O que no livro anterior faltou, nesse ele preencheu, estou falando de aventuras, revelações e intrigas, foi tão cativante que eu passei um domingo inteiro lendo  <br/>Mas o que me incomoda são os furos na narrativa, fica difícil de imaginar um povo mágico se curvar para uma garota mortal e um príncipe playboy, faltou o nome deles serem reconhecidos pelo povo por batalhas vencidas, ou Jude receber algum poder mágico, só sei que faltou algo para realmente acreditar que uma mortal seria capaz de fazer facções se curvarem<br/>Sei que a autora quis mostrar a força de ser um humano, com todas as dificuldades que ela enfrentou e enfrenta, mas faltou a autora refinar a narrativa e nos fazer acreditar que ela vai ser capaz de continuar governando, mesmo depois de o livro acabar",,,1,0
43093232,,"O Príncipe Cruel (O Povo do Ar, #1)",Holly Black,"Black, Holly",,8501101958,9788501101952,3,04.03,Galera Record,ebook,385,2018,2018,2022/02/04,2022/02/02,"juvenil, 2022","juvenil (#3), 2022 (#4)",read,"Comecei a leitura já criticando o desconhecido, na metade do livro Jude me surpreendeu por ser uma personagem feminina forte, o fim foi uma boa surpresa, pois a autora tem uma forma de nos mostrar os pós e contras das decisões que serão tomadas, achei interessante que foi mostrado os pensamento egoístas de Jude e não somente ela tomando a decisão certa, trouxe mais intimidade trazer os pensamentos sombrios que geralmente temos antes de escolher o caminho da atitude correta a se tomar.<br/>Mas não vamos esquecer que é um clichê de bullying com uma escrita cativante, o diferencial é que o príncipe é fraco e Jude detém todo o poder.",,,1,0
52857120,,"O Rei Perverso (O Povo do Ar, #2)",Holly Black,"Black, Holly",Regiane Winarski,8501303518,9788501303516,2,4.29,Galera Record,Paperback,308,2020,2019,2022/02/10,2022/02/04,"juvenil, 2022","juvenil (#4), 2022 (#2)",read,"Os elogios que fiz para o primeiro livro, não posso repetir para este, Jude foi tão imprudente, ficou cega pelo poder, <br/>Com 70% lido a história começou a se movimentar, percebemos o amadurecimento do Rei, as intrigas se formando e a queda de Jude",,,1,0
